Year,Dog_name,Breed,Gender,Suburb
2008,"KATIE","TERRIER - UNKNOWN","FEMALE","ADELAIDE"
2008,"KIP","GOLDEN RETRIEVER","DESEXED MALE","ADELAIDE"
2008,"KOOKI","MALTESE CROSS","MALE","ADELAIDE"
2008,"LEO","AUSTRALIAN CATTLE DOG","MALE","NORTH ADELAIDE"
2008,"LILLI","CAVALIER KING CHARLES SPANIEL","DESEXED FEMALE","ADELAIDE"
2008,"LILLIE","MALTESE CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2008,"LILLY","WEST HIGHLAND WHITE TERRIER","DESEXED FEMALE","ADELAIDE"
2008,"LILLY","SOFT COATED WHEATON TERRIER","FEMALE","NORTH ADELAIDE"
2008,"LILLY","AUSTRALIAN SILKY TERRIER CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2008,"LITTLE BEAN","AUSTRALIAN KELPIE CROSS","DESEXED FEMALE","ADELAIDE"
2008,"LOBY","AUSTRALIAN KELPIE","DESEXED FEMALE","NORTH ADELAIDE"
2008,"LOLLY","COCKER SPANIEL","FEMALE","NORTH ADELAIDE"
2008,"LOLLY","COCKER SPANIEL","FEMALE","NORTH ADELAIDE"
2008,"LOUISE","POODLE MINATURE CROSS","FEMALE","NORTH ADELAIDE"
2008,"LUCKY","CROSS BREED UNKNOWN","DESEXED FEMALE","NORTH ADELAIDE"
2008,"LUCY","DACHSHUND","DESEXED FEMALE","NORTH ADELAIDE"
2008,"LUCY","SHIH TZU","DESEXED FEMALE","NORTH ADELAIDE"
2008,"LUCY","JACK RUSSELL TERRIER","FEMALE","ADELAIDE"
2008,"LUCY","WELSH CORGIE PEMBROKE","DESEXED FEMALE","NORTH ADELAIDE"
2008,"LULU","POODLE MINIATURE","DESEXED FEMALE","ADELAIDE"
2008,"LUNA","WHIPPET","DESEXED MALE","NORTH ADELAIDE"
2008,"MACK FANGIO CHAMPION","LABRADOR RETRIEVER CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"MADDIE","FOX TERRIER WIRE","DESEXED FEMALE","ADELAIDE"
2008,"MANI","JACK RUSSELL TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"MANI","JACK RUSSELL TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"MARJORIE","POODLE MINATURE CROSS","FEMALE","NORTH ADELAIDE"
2008,"MARJORIE","POODLE MINATURE CROSS","FEMALE","NORTH ADELAIDE"
2008,"MAX","BORDER COLLIE CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"MAX","CAVALIER KING CHARLES SPANIEL CROSS","MALE","NORTH ADELAIDE"
2008,"MAX","FOX TERRIER (SMOOTH)","MALE","NORTH ADELAIDE"
2008,"MAX","SCHNAUZER","DESEXED MALE","ADELAIDE"
